2;	0.000807723383261 ,0.000807723383261 ,0.000807723383261 ,0.000807723383261 ,0.996769106467;	0.000810341510407 ,0.000810341510407 ,0.000810341510407 ,0.000810341510407 ,1.0
3;	4.82569990695e-38 ,4.27614000082e-44 ,9.43378651239e-45 ,2.03894584944e-44 ,1.0;	4.82569990695e-38 ,4.27614000082e-44 ,9.43378651239e-45 ,2.03894584944e-44 ,1.0
4;	0.259170457127 ,0.243797068715 ,0.252501556694 ,0.244530917464 ,1.57564566783e-47;	1.64485240825e+46 ,1.54728359106e+46 ,1.60252753427e+46 ,1.55194103889e+46 ,1.0
5;	0.254092939977 ,0.246010680986 ,0.254507280144 ,0.225234421983 ,0.0201546769098;	12.6071452852 ,12.2061336973 ,12.627703301 ,11.175293109 ,1.0
6;	0.24282953285 ,0.233446615309 ,0.239196938733 ,0.240221439382 ,0.0443054737263;	5.48080208667 ,5.26902424633 ,5.39881235016 ,5.42193591847 ,1.0
7;	0.215383210817 ,0.216462448318 ,0.216792829878 ,0.213693975174 ,0.137667535814;	1.56451707764 ,1.57235652573 ,1.57475637663 ,1.55224667828 ,1.0
8;	0.149431056466 ,0.139125854977 ,0.148331404712 ,0.139271659936 ,0.423840023909;	0.352564760374 ,0.328250866198 ,0.349970263177 ,0.328594875613 ,1.0
9;	0.164462319875 ,0.169721212 ,0.168635234278 ,0.16784861426 ,0.329332619586;	0.499380596073 ,0.515348926607 ,0.512051416256 ,0.509662888755 ,1.0
10;	0.110750482974 ,0.1120540439 ,0.113137419684 ,0.110429668699 ,0.553628384744;	0.200044806274 ,0.202399383752 ,0.204356248345 ,0.199465330432 ,1.0
11;	0.240817858814 ,0.223353883565 ,0.198920567757 ,0.192020983482 ,0.144886706382;	1.66211148578 ,1.54157609861 ,1.37293871 ,1.32531816256 ,1.0
12;	0.201214722511 ,0.201214722511 ,0.199576287124 ,0.192611557735 ,0.20538271012;	0.979706239114 ,0.979706239114 ,0.971728764351 ,0.937817782336 ,1.0
