0;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
1;	0.246096959926 ,0.246096959926 ,0.246096959926 ,0.246096959926 ,0.0156121602978;	15.763158668 ,15.763158668 ,15.763158668 ,15.763158668 ,1.0
2;	0.247877340787 ,0.247877340787 ,0.247877340787 ,0.247877340787 ,0.00849063685109;	29.1941988728 ,29.1941988728 ,29.1941988728 ,29.1941988728 ,1.0
3;	0.25056263152 ,0.24909947645 ,0.250146760997 ,0.244840671579 ,0.0053504594548;	46.8301149904 ,46.5566515463 ,46.7523888575 ,45.7606816101 ,1.0
4;	0.370521634722 ,0.448998945836 ,0.00100050129303 ,0.0155088631933 ,0.163970054956;	2.25969086137 ,2.73829844087 ,0.00610173176622 ,0.0945835091506 ,1.0
5;	0.241331585322 ,0.264436986673 ,0.267730303681 ,0.226007426232 ,0.000493698090991;	488.824222184 ,535.624892012 ,542.295602448 ,457.784687356 ,1.0
6;	0.120519318918 ,0.123209080482 ,0.125472716569 ,0.116674444331 ,0.5141244397;	0.234416630706 ,0.239648363252 ,0.244051258567 ,0.226938140499 ,1.0
7;	0.228292724676 ,0.227002908588 ,0.223955207217 ,0.224622731863 ,0.0961264276559;	2.37492155116 ,2.3615036377 ,2.32979850264 ,2.33674273912 ,1.0
8;	0.118697012788 ,0.120340000877 ,0.136396852099 ,0.119532084645 ,0.50503404959;	0.23502774295 ,0.238280965363 ,0.270074566676 ,0.2366812391 ,1.0
9;	0.227626824237 ,0.239917756681 ,0.239599565822 ,0.239380608916 ,0.0534752443441;	4.25667665532 ,4.48652006407 ,4.48056981806 ,4.47647527098 ,1.0
10;	0.00737468998107 ,0.00477718078222 ,0.00353935374533 ,0.0612698657578 ,0.923038909734;	0.00798957649922 ,0.00517549231332 ,0.00383445779805 ,0.0663784214422 ,1.0
11;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
12;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
